representation,target,depth,learning_rate,l2_leaf_reg,iterations,real_val_MAE,stress_val_MAE,selection_score
C_SOLUTION_HANDCRAFTED,score_effectiveness,6,0.03,30,300,5.861245736200156,20.86875934740545,11.864251180682274
C_SOLUTION_HANDCRAFTED,score_effectiveness,6,0.05,10,400,6.363330966405199,22.303638239576443,12.739453875673696
C_SOLUTION_HANDCRAFTED,score_factchecking,4,0.03,10,300,3.0183997909740565,21.334721982510633,10.344928667588688
C_SOLUTION_HANDCRAFTED,score_factchecking,4,0.05,30,400,4.166935342734593,20.48462792534652,10.694012375779364
C_SOLUTION_HANDCRAFTED,score_factchecking,6,0.05,10,400,5.754951413954409,18.510186072907263,10.857045277535551
C_SOLUTION_HANDCRAFTED,score_factchecking,6,0.03,30,300,4.835802628567862,21.890346087533814,11.657620012154243
C_SOLUTION_HANDCRAFTED,score_logic,6,0.03,30,300,3.2168602699239566,17.41769042917588,8.897192333624727
C_SOLUTION_HANDCRAFTED,score_logic,4,0.05,30,400,2.9446912947186985,18.03478085545673,8.980727119013912
C_SOLUTION_HANDCRAFTED,score_logic,6,0.05,10,400,3.5793269315151672,17.29215819827524,9.064459438219195
C_SOLUTION_HANDCRAFTED,score_logic,4,0.03,10,300,2.92424125433967,18.589213841342787,9.190230289140917
C_SOLUTION_HANDCRAFTED,score_originality,4,0.05,30,400,7.7162548082808,12.846606992593124,9.768395682005728
C_SOLUTION_HANDCRAFTED,score_originality,4,0.03,10,300,7.538246152593699,13.20605786957635,9.80537083938676
C_SOLUTION_HANDCRAFTED,score_originality,6,0.05,10,400,8.153922670698643,12.582045534394801,9.925171816177105
C_SOLUTION_HANDCRAFTED,score_originality,6,0.03,30,300,8.036841573643143,13.35497200168967,10.164093744861754
